t=2019-11-26T23:09:44-0800 lvl=info msg="no configuration paths supplied"
t=2019-11-26T23:09:44-0800 lvl=info msg="using configuration at default config path" path=/home/pi/.ngrok2/ngrok.yml
t=2019-11-26T23:09:44-0800 lvl=info msg="open config file" path=/home/pi/.ngrok2/ngrok.yml err=nil
t=2019-11-26T23:09:44-0800 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040
t=2019-11-26T23:09:45-0800 lvl=info msg="tunnel session started" obj=tunnels.session
t=2019-11-26T23:09:45-0800 lvl=info msg="client session established" obj=csess id=892ed20e5f80
t=2019-11-26T23:09:45-0800 lvl=info msg="started tunnel" obj=tunnels name="command_line (http)" addr=http://localhost:3000 url=http://0157fd93.ngrok.io
t=2019-11-26T23:09:45-0800 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:3000 url=https://0157fd93.ngrok.io
t=2019-11-26T23:10:11-0800 lvl=info msg="join connections" obj=join id=b14f73eda061 l=[::1]:3000 r=18.212.159.231:12776
t=2019-11-26T23:10:19-0800 lvl=info msg="join connections" obj=join id=d27210d252e9 l=[::1]:3000 r=3.81.137.80:44232
t=2019-11-26T23:24:59-0800 lvl=info msg="join connections" obj=join id=9ef008f3caf6 l=[::1]:3000 r=18.212.159.231:38460
t=2019-11-26T23:24:59-0800 lvl=info msg="join connections" obj=join id=21e89bdaa90c l=[::1]:3000 r=100.26.104.3:33018
t=2019-11-26T23:25:54-0800 lvl=info msg="join connections" obj=join id=b2df71d1e158 l=[::1]:3000 r=3.208.29.62:39130
t=2019-11-26T23:25:55-0800 lvl=info msg="join connections" obj=join id=56e6ae2a585e l=[::1]:3000 r=54.236.20.156:55978
t=2019-11-26T23:25:55-0800 lvl=info msg="join connections" obj=join id=da8d80877b8a l=[::1]:3000 r=34.201.116.181:43550
t=2019-11-26T23:26:03-0800 lvl=info msg="join connections" obj=join id=17f1fbfd72ba l=[::1]:3000 r=34.201.116.181:45064
t=2019-11-27T00:20:56-0800 lvl=info msg="join connections" obj=join id=afa685bc0d47 l=[::1]:3000 r=24.56.240.93:54320
t=2019-11-27T00:23:30-0800 lvl=info msg="join connections" obj=join id=6b41616db5b2 l=[::1]:3000 r=24.56.240.93:54378
t=2019-11-27T00:27:19-0800 lvl=info msg="join connections" obj=join id=da1ea358413c l=[::1]:3000 r=24.56.240.93:54438
t=2019-11-27T00:28:14-0800 lvl=info msg="join connections" obj=join id=67818a6f1886 l=[::1]:3000 r=24.56.240.93:54451
t=2019-11-27T00:28:37-0800 lvl=info msg="join connections" obj=join id=8b0f1e7251c1 l=[::1]:3000 r=24.56.240.93:54452
t=2019-11-27T00:29:42-0800 lvl=info msg="join connections" obj=join id=4945baebad88 l=[::1]:3000 r=24.56.240.93:54465
t=2019-11-27T04:48:48-0800 lvl=info msg="join connections" obj=join id=394ee7cd09df l=[::1]:3000 r=52.4.92.79:45320
t=2019-11-27T04:54:02-0800 lvl=info msg="join connections" obj=join id=28f089837f37 l=[::1]:3000 r=35.153.100.34:23896
t=2019-11-27T04:58:38-0800 lvl=info msg="join connections" obj=join id=ef7f815a0daa l=[::1]:3000 r=3.81.114.189:59134
